Key,Oat Fodder General,Fodder beet Fodder General,Swede Fodder General,Rape Fodder General,Kale Fodder General,Turnip Fodder Bulb,Turnip Fodder Leafy,Barley Fodder General,Annual ryegrass Fodder General,Rye corn Fodder General,Wheat Fodder General,Triticale Fodder General,Maize Fodder General,Oat Grain General,Canola Grain General,Hemp Grain General,Chickpea Grain General,Sunflower Grain General,Barley Grain General,Lentil Grain General,Linseed Grain General,Bean Grain General,Pea Grain General,Wheat Grain Breed,Wheat Grain Feed,Maize Grain General,Red beet Seed General,Rape Seed General,Pak choi Seed General,Cocksfoot Seed General,Carrot Seed General,Ryegrass Seed General,Radish Seed Open pollinated,White clover Seed General,Leek Vegetable General,Onion Vegetable Brown,Onion Vegetable Red,Onion Vegetable Shallot,Spring onion Vegetable General,Garlic Vegetable General,Celery Vegetable General,Silver beet Vegetable General,Red beet Vegetable General,Cauliflower Vegetable General,Cabbage Vegetable General,Brussel sprout  Vegetable General,Broccoli Vegetable Head only,Broccoli Vegetable Chinese cut,Pak choi Vegetable General,Choy sum Vegetable General,Wong bok Vegetable General,Coriander Vegetable General,Water melon Vegetable General,Rock melon Vegetable General,Squash Vegetable General,Pumpkin Vegetable General,Zucchini Vegetable General,Carrot Vegetable General,Kumara Vegetable General,Lettuce Vegetable Ice berg,Lettuce Vegetable Leafy-salad,Parsnip Vegetable General,Bean Vegetable General,Pea Vegetable General,Tomato Vegetable General,Potato Vegetable General,Spinach Vegetable General,Broad bean Vegetable General,Sweetcorn Vegetable General
EndUse,Fodder,Fodder,Fodder,Fodder,Fodder,Fodder,Fodder,Fodder,Fodder,Fodder,Fodder,Fodder,Fodder,Grain,Grain,Grain,Grain,Grain,Grain,Grain,Grain,Grain,Grain,Grain,Grain,Grain,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable
Group,Cereal,Bulb,Bulb,Leafy brassica,Leafy brassica,Bulb,Leafy brassica,Cereal,Grass,Cereal,Cereal,Cereal,Cereal,Cereal,Oilseed,Oilseed,Pulse,Cereal,Cereal,Pulse,Oilseed,Pulse,Pulse,Cereal,Cereal,Cereal,"Vegetable, root",Fodder,"Vegetable, green",Forage,"Vegetable, root",Forage,"Vegetable, root",Forage,Green,Root,Root,Root,Green,Root,Green,Green,Root,Green,Green,Green,Green,Green,Green,Green,Green,Green,Fruit,Fruit,Fruit,Fruit,Fruit,Root,Root,Green,Green,Root,Pulse,Pulse,Fruit,Root,Green,Pulse,Fruit
Colloquial Name,Oat,Fodder beet,Swede,Rape,Kale,Turnip,Turnip,Barley,Annual ryegrass,Rye corn,Wheat,Triticale,Maize,Oat,Canola,Hemp,Chickpea,Sunflower,Barley,Lentil,Linseed,Bean,Pea,Wheat,Wheat,Maize,Red beet,Rape,Pak choi,Cocksfoot,Carrot,Ryegrass,Radish,White clover,Leek,Onion,Onion,Onion,Spring onion,Garlic,Celery,Silver beet,Red beet,Cauliflower,Cabbage,Brussel sprout ,Broccoli,Broccoli,Pak choi,Choy sum,Wong bok,Coriander,Water melon,Rock melon,Squash,Pumpkin,Zucchini,Carrot,Kumara,Lettuce,Lettuce,Parsnip,Bean,Pea,Tomato,Potato,Spinach,Broad bean,Sweetcorn
Type,General,General,General,General,General,Bulb,Leafy,General,General,General,General,General,General,General,General,General,General,General,General,General,General,General,General,Breed,Feed,General,General,General,General,General,General,General,Open pollinated,General,General,Brown,Red,Shallot,General,General,General,General,General,General,General,General,Head only,Chinese cut,General,General,General,General,General,General,General,General,General,General,General,Ice berg,Leafy-salad,General,General,General,General,General,General,General,General
Family,Poaceae ,Amaranthaceae ,Brassicaceae,Brassicaceae,Brassicaceae,Brassicaceae,Brassicaceae,Poaceae ,Poaceae ,Poaceae ,Poaceae ,Poaceae ,Poaceae ,Poaceae ,Brassicaceae,Cannabaceae ,Fabaceae ,Asteraceae ,Poaceae ,Fabaceae ,Linaceae ,Fabaceae ,Fabaceae ,Poaceae ,Poaceae ,Poaceae ,Amaranthaceae ,Brassicaceae,Brassicaceae,Poaceae ,Apiaceae ,Poaceae ,Brassicaceae,Fabaceae ,Amaryllidaceae,Amaryllidaceae,Amaryllidaceae,Amaryllidaceae,Amaryllidaceae,Amaryllidaceae,Apiaceae ,Amaranthaceae ,Amaranthaceae ,Brassicaceae,Brassicaceae,Brassicaceae,Brassicaceae,Brassicaceae,Brassicaceae,Brassicaceae,Brassicaceae,Apiaceae ,Cucurbitaceae,Cucurbitaceae,Cucurbitaceae,Cucurbitaceae,Cucurbitaceae,Apiaceae ,Convolvulaceae,Asteraceae ,Asteraceae ,Apiaceae ,Fabaceae ,Fabaceae ,Solanaceae,Solanaceae,Amaranthaceae ,Fabaceae ,Poaceae 
Genus,Avena,Beta,Brassica,Brassica,Brassica,Brassica,Brassica,Hordeum,Lolium,Secale,Triticum,Triticum x Secale,Zea,Avena,Brassica,Cannabis,Cicer,Helianthus,Hordeum,Lens,Linum,Phaseolus,Pisum,Triticum,Triticum,Zea,Beta,Brassica,Brassica,Dactylus,Daucus,Lolium,Raphanus,Trifolium,Allium,Allium,Allium,Allium,Allium,Allium,Apium,Beta,Beta,Brassica,Brassica,Brassica,Brassica,Brassica,Brassica,Brassica,Brassica,Coriandrum,Cucumis,Cucumis,Cucurbita,Cucurbita,Cucurbita,Daucus,Ipomoea,Lactuca,Lactuca,Pastinaca,Phaseolus,Pisum,Solanum ,Solanum ,Spinacia,Vicia,Zea
Specific epithet,sativa,vulgaris,napus,napus,oleracea,rapa,rapa x napus,vulgure,multiflorum,cereale,astevium,,mays,sativa,napus,x,arietinum,annus,vulgure,culinaris,usitatissimum,vulgaris,sativum,astevium,astevium,mays,vulgaris,napus,rapa,glomerata,carota,perenne,raphanistrum,repens,ampeloprasum,cepa,cepa,cepa,fistulosum,sativum,graveolens,vulgaris,vulgaris,oleracea,oleracea,oleracea,oleracea,oleracea,rapa,rapa,rapa,sativum,lanatus,melo,argyrosperma,pepo,pepo,carota,batatas,sativa,sativa,sativa,vulgaris,sativum,lycopersicum,tuberosum,loeracea,faba,mays
Sub species,,crassa,napobrassica,napus,acephala,rapa,,,,,,,,,napus,,,,,,,,,,,,conditiva,napus,chinensis,,,,sativa,,,,,,,,,cicla,conditiva,botrytis,capitata,gemmifera,italica,italica,chinensis,parachinensis,pekinensis,,,,,,,,,,,,,,,,,,
Species name,Avena sativa ,Beta vulgaris crassa,Brassica napus napobrassica,Brassica napus napus,Brassica oleracea acephala,Brassica rapa rapa,Brassica rapa x napus ,Hordeum vulgure ,Lolium multiflorum ,Secale cereale ,Triticum astevium ,Triticum x Secale  ,Zea mays ,Avena sativa ,Brassica napus napus,Cannabis x ,Cicer arietinum ,Helianthus annus ,Hordeum vulgure ,Lens culinaris ,Linum usitatissimum ,Phaseolus vulgaris ,Pisum sativum ,Triticum astevium ,Triticum astevium ,Zea mays ,Beta vulgaris conditiva,Brassica napus napus,Brassica rapa chinensis,Dactylus glomerata ,Daucus carota ,Lolium perenne ,Raphanus raphanistrum sativa,Trifolium repens ,Allium ampeloprasum ,Allium cepa ,Allium cepa ,Allium cepa ,Allium fistulosum ,Allium sativum ,Apium graveolens ,Beta vulgaris cicla,Beta vulgaris conditiva,Brassica oleracea botrytis,Brassica oleracea capitata,Brassica oleracea gemmifera,Brassica oleracea italica,Brassica oleracea italica,Brassica rapa chinensis,Brassica rapa parachinensis,Brassica rapa pekinensis,Coriandrum sativum ,Cucumis lanatus ,Cucumis melo ,Cucurbita argyrosperma ,Cucurbita pepo ,Cucurbita pepo ,Daucus carota ,Ipomoea batatas ,Lactuca sativa ,Lactuca sativa ,Pastinaca sativa ,Phaseolus vulgaris ,Pisum sativum ,Solanum  lycopersicum ,Solanum  tuberosum ,Spinacia loeracea ,Vicia faba ,Zea mays 
Epithet and sub species,sativa ,vulgaris crassa,napus napobrassica,napus napus,oleracea acephala,rapa rapa,rapa x napus ,vulgure ,multiflorum ,cereale ,astevium , ,mays ,sativa ,napus napus,x ,arietinum ,annus ,vulgure ,culinaris ,usitatissimum ,vulgaris ,sativum ,astevium ,astevium ,mays ,vulgaris conditiva,napus napus,rapa chinensis,glomerata ,carota ,perenne ,raphanistrum sativa,repens ,ampeloprasum ,cepa ,cepa ,cepa ,fistulosum ,sativum ,graveolens ,vulgaris cicla,vulgaris conditiva,oleracea botrytis,oleracea capitata,oleracea gemmifera,oleracea italica,oleracea italica,rapa chinensis,rapa parachinensis,rapa pekinensis,sativum ,lanatus ,melo ,argyrosperma ,pepo ,pepo ,carota ,batatas ,sativa ,sativa ,sativa ,vulgaris ,sativum ,lycopersicum ,tuberosum ,loeracea ,faba ,mays 
Typical Establish Stage,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seed,Seedling,Seed,Seed,Seed,Seed,Seed,Seedling,Seedling,Seed,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seedling,Seed,Seedling,Seedling,Seedling,Seed,Seed,Seed,Seed,Seedling,Seedling,Seed,Seed,Seed,Seedling,Seed,Seed,Seed,Seed
Typical Establish month,Jul,Nov,Nov,Oct,Oct,Dec,Oct,Jul,Apr,Feb,Jul,Jul,Nov,May,Apr,Nov,Oct,Oct,Sep,Oct,Sep,Oct,Oct,Apr,Apr,Oct,Apr,Apr,Sep,Feb,Feb,Apr,Sep,Mar,Nov,May,May,Apr,Feb,Jun,Oct,Nov,Sep,Sep,Sep,Nov,May,May,May,May,Dec,May,Oct,Oct,Oct,Oct,Oct,Oct,Oct,Sep,Sep,Sep,Nov,Aug,Oct,Oct,May,May,Oct
Typical Harvest Stage,EarlyReproductive,EarlyReproductive,LateReproductive,EarlyReproductive,LateReproductive,EarlyReproductive,Vegetative,EarlyReproductive,EarlyReproductive,EarlyReproductive,EarlyReproductive,EarlyReproductive,EarlyReproductive,Maturity,LateReproductive,Maturity,LateReproductive,Maturity,Maturity,Maturity,LateReproductive,Maturity,Maturity,Maturity,Maturity,Maturity,LateReproductive,LateReproductive,LateReproductive,LateReproductive,LateReproductive,LateReproductive,LateReproductive,LateReproductive,Vegetative,Maturity,LateReproductive,Vegetative,Vegetative,Vegetative,Vegetative,Vegetative,EarlyReproductive,EarlyReproductive,Vegetative,EarlyReproductive,EarlyReproductive,EarlyReproductive,Vegetative,Vegetative,Vegetative,Vegetative,LateReproductive,LateReproductive,Maturity,LateReproductive,EarlyReproductive,EarlyReproductive,Maturity,Vegetative,Vegetative,EarlyReproductive,EarlyReproductive,EarlyReproductive,LateReproductive,LateReproductive,Vegetative,EarlyReproductive,MidReproductive
