Date,Nitrogen
9/07/2011 0:00,12
10/07/2011 0:00,38
11/07/2011 0:00,55
12/07/2011 0:00,165
13/07/2011 0:00,170
14/07/2011 0:00,5
15/07/2011 0:00,25
16/07/2011 0:00,75
17/07/2011 0:00,66
19/09/2020 0:00,77
20/09/2020 0:00,52
21/09/2020 0:00,55
22/09/2020 0:00,35
23/09/2020 0:00,15
24/09/2020 0:00,78
25/09/2020 0:00,68
26/09/2020 0:00,46
27/09/2020 0:00,55
28/09/2020 0:00,97
29/09/2020 0:00,78
20/07/2015 0:00,25
21/07/2015 0:00,65
22/07/2015 0:00,45
23/07/2015 0:00,56
24/07/2015 0:00,44
25/07/2015 0:00,66
26/07/2015 0:00,77
27/07/2015 0:00,88
28/07/2015 0:00,99
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
